,temp_C_mean,temp_C_min,temp_C_max,wind_speed_mean,wind_speed_min,wind_speed_max,precip_mm_sum
2023-03-12 00:00:00+00:00,14.477101,9.54303,20.55597,0.961901,0.45366848,1.8237158,0.0025641685
2023-03-13 00:00:00+00:00,12.965438,9.4198,17.458557,3.3331082,0.8114863,5.905735,0.09084543
2023-03-14 00:00:00+00:00,12.033418,6.9816895,17.603943,2.1494148,1.216396,2.8476791,0.0007465774
2023-03-15 00:00:00+00:00,13.938994,6.4626465,22.832184,1.6359571,0.29315597,2.4016275,0.00012107924
2023-03-16 00:00:00+00:00,13.675502,7.8012695,19.956757,2.3237684,0.58016974,4.0187964,0.13578592
2023-03-17 00:00:00+00:00,12.71902,10.227295,15.725708,3.6337192,2.4131548,5.3937974,0.34348541
2023-03-18 00:00:00+00:00,12.266786,8.824249,16.651947,2.830637,1.4818202,4.493289,0.058259685
2023-03-19 00:00:00+00:00,13.084518,7.146179,19.939941,1.7903137,0.60983163,2.7194002,2.4309345e-05
2023-03-20 00:00:00+00:00,14.330529,7.7050476,21.742828,1.8130941,1.2257239,2.506924,0.00026319543
2023-03-21 00:00:00+00:00,14.072198,8.147186,20.994812,2.0314953,1.3416271,3.1530206,0.00031415155
2023-03-22 00:00:00+00:00,13.228839,7.6496887,19.71518,1.5596886,0.5744746,2.8344462,0.0009611541
2023-03-23 00:00:00+00:00,12.788689,7.523712,18.052582,1.9848529,0.3545595,3.753216,0.08098003
2023-03-24 00:00:00+00:00,14.148,10.684143,18.511597,2.7589138,1.531923,3.9416401,0.08856642
2023-03-25 00:00:00+00:00,13.701777,7.316559,20.688324,1.843042,0.052549426,3.776812,0.0479773
2023-03-26 00:00:00+00:00,14.383999,10.745392,19.72818,2.7424777,1.9244245,3.770798,0.004701521
2023-03-27 00:00:00+00:00,14.9856825,7.480896,23.545654,1.7484185,0.92000294,2.5826313,2.8049244e-05
2023-03-28 00:00:00+00:00,17.61003,9.225342,26.667816,1.5842285,0.4335525,2.2626147,0.0
2023-03-29 00:00:00+00:00,17.59715,10.615204,25.184235,2.2336612,0.62419474,4.298193,0.01709134
2023-03-30 00:00:00+00:00,16.063757,12.62442,21.44458,2.816078,1.1759927,4.8025527,0.051817708
2023-03-31 00:00:00+00:00,15.351642,11.993591,19.549591,3.6178493,2.369935,4.859328,0.02781116
2023-04-01 00:00:00+00:00,14.060272,10.124908,18.052124,2.9228313,1.7104672,4.5186605,0.0632861
2023-04-02 00:00:00+00:00,14.710368,8.465057,21.515747,2.4714587,1.9290597,3.0056224,0.00020896687
2023-04-03 00:00:00+00:00,14.64415,7.1172485,21.481415,1.8640379,0.6805177,2.898097,0.022498766
2023-04-04 00:00:00+00:00,16.46582,11.020996,23.116058,2.724474,1.6349771,3.8275828,0.0033953611
