date,avg_price_eur_mwh
2023-07-12,100.73541666666667
2023-07-13,104.9340909090909
2023-07-14,87.05416666666667
2023-07-15,67.19444444444444
2023-07-16,64.66315789473684
2023-07-17,89.32434782608696
2023-07-18,97.30304347826086
2023-07-19,94.53458333333333
2023-07-20,93.65875
2023-07-21,94.34136363636365
2023-07-22,94.83285714285714
2023-07-23,67.88363636363637
2023-07-24,88.99347826086957
2023-07-25,91.97217391304348
2023-07-26,102.55125
2023-07-27,98.71625
2023-07-28,97.4695652173913
2023-07-29,91.6295652173913
2023-07-30,84.2345
2023-07-31,89.77130434782607
2023-08-01,88.46909090909091
2023-08-02,77.29941176470588
2023-08-03,65.46318181818182
2023-08-04,71.91526315789474
2023-08-05,79.28772727272727
2023-08-06,51.68404761904762
2023-08-07,85.732
2023-08-08,98.9525
