valid_time,mean_cloud,min_cloud,max_cloud
2023-08-05 00:00:00+00:00,0.07355484,0.0,0.8489991
2023-08-06 00:00:00+00:00,0.0045387414,0.0,0.07589901
2023-08-07 00:00:00+00:00,1.5990208,0.0,12.269107
2023-08-08 00:00:00+00:00,6.919781,0.8503992,14.9623375
2023-08-09 00:00:00+00:00,21.017538,0.048145965,52.007156
2023-08-10 00:00:00+00:00,9.481149,0.32729203,37.244156
2023-08-11 00:00:00+00:00,4.8167253,0.052023493,15.627909
2023-08-12 00:00:00+00:00,9.226743,0.0,32.201214
2023-08-13 00:00:00+00:00,12.053573,0.739782,28.426945
2023-08-14 00:00:00+00:00,27.60998,6.2147074,57.623398
2023-08-15 00:00:00+00:00,52.718494,0.1504337,95.12045
2023-08-16 00:00:00+00:00,8.411031,0.65296847,23.504675
2023-08-17 00:00:00+00:00,30.643745,0.34919292,57.640343
2023-08-18 00:00:00+00:00,54.197235,12.8139,96.86128
2023-08-19 00:00:00+00:00,34.820633,9.440666,52.601284
2023-08-20 00:00:00+00:00,43.64145,17.322891,82.68957
2023-08-21 00:00:00+00:00,14.947411,0.12070599,48.731186
2023-08-22 00:00:00+00:00,10.345925,1.1320585,18.609404
2023-08-23 00:00:00+00:00,2.4791806,0.0805305,11.7050705
2023-08-24 00:00:00+00:00,6.786816,0.011776195,24.466913
2023-08-25 00:00:00+00:00,42.573204,1.1308737,79.948654
2023-08-26 00:00:00+00:00,38.324856,3.3929083,74.84928
2023-08-27 00:00:00+00:00,38.14964,1.3228831,74.48404
2023-08-28 00:00:00+00:00,4.535929,0.096866384,18.070679
2023-08-29 00:00:00+00:00,14.2911005,1.4590274,27.558413
2023-08-30 00:00:00+00:00,26.07028,4.9411187,46.35315
2023-08-31 00:00:00+00:00,26.717674,7.7099247,44.963844
2023-09-01 00:00:00+00:00,61.154266,9.659568,97.98957
2023-09-02 00:00:00+00:00,73.06215,55.771194,94.75636
2023-09-03 00:00:00+00:00,73.83139,46.35753,95.20648
2023-09-04 00:00:00+00:00,70.324745,38.677547,99.651924
2023-09-05 00:00:00+00:00,75.12432,50.59107,95.747826
2023-09-06 00:00:00+00:00,74.07519,13.730361,99.04595
2023-09-07 00:00:00+00:00,56.51395,18.61662,87.7259
2023-09-08 00:00:00+00:00,62.615337,8.515697,94.298744
2023-09-09 00:00:00+00:00,67.731255,36.35078,93.98825
2023-09-10 00:00:00+00:00,71.36479,32.121296,88.00595
2023-09-11 00:00:00+00:00,58.179733,29.229557,80.715195
2023-09-12 00:00:00+00:00,36.659863,6.131089,82.235466
2023-09-13 00:00:00+00:00,24.17893,5.1186237,44.359024
2023-09-14 00:00:00+00:00,54.146866,40.691277,67.09146
2023-09-15 00:00:00+00:00,54.29833,35.747894,79.02222
2023-09-16 00:00:00+00:00,75.971886,28.549627,99.61462
2023-09-17 00:00:00+00:00,63.822037,28.328068,89.137535
2023-09-18 00:00:00+00:00,54.450573,11.344676,86.81863
2023-09-19 00:00:00+00:00,24.632936,2.4604707,54.132225
2023-09-20 00:00:00+00:00,57.348007,32.094185,88.308464
2023-09-21 00:00:00+00:00,87.5075,49.534122,99.25813
2023-09-22 00:00:00+00:00,57.67488,1.2091423,95.49736
2023-09-23 00:00:00+00:00,20.856527,0.0,74.770256
2023-09-24 00:00:00+00:00,0.70438606,0.0,2.1065028
2023-09-25 00:00:00+00:00,1.5811456,0.0,7.8348675
2023-09-26 00:00:00+00:00,29.01159,0.5710018,61.277145
2023-09-27 00:00:00+00:00,59.98209,15.681439,86.824234
2023-09-28 00:00:00+00:00,12.72482,0.120059736,46.910294
2023-09-29 00:00:00+00:00,9.967338,0.0,26.823765
2023-09-30 00:00:00+00:00,0.664408,0.0,2.7189007
2023-10-01 00:00:00+00:00,15.578636,0.0,63.482346
2023-10-02 00:00:00+00:00,14.029407,0.8611343,42.95421
2023-10-03 00:00:00+00:00,26.279734,5.2008057,74.327934
2023-10-04 00:00:00+00:00,31.826843,0.05823472,79.035324
2023-10-05 00:00:00+00:00,31.359678,1.4364085,73.98588
2023-10-06 00:00:00+00:00,61.54391,28.284803,97.121765
2023-10-07 00:00:00+00:00,49.51486,2.384105,76.249214
2023-10-08 00:00:00+00:00,10.799545,0.7032327,25.440819
2023-10-09 00:00:00+00:00,1.5017761,0.0,5.8700743
2023-10-10 00:00:00+00:00,11.231095,0.015043371,37.694992
2023-10-11 00:00:00+00:00,39.77172,3.180937,69.06189
2023-10-12 00:00:00+00:00,15.308186,3.8894832,60.27085
2023-10-13 00:00:00+00:00,89.89731,66.785995,99.87814
2023-10-14 00:00:00+00:00,76.92979,48.097103,99.994865
2023-10-15 00:00:00+00:00,89.67281,70.79837,99.03076
2023-10-16 00:00:00+00:00,94.590096,80.53815,99.91663
2023-10-17 00:00:00+00:00,89.723625,66.76984,99.648186
2023-10-18 00:00:00+00:00,73.65619,50.78057,95.10455
2023-10-19 00:00:00+00:00,87.29336,42.91845,99.99164
2023-10-20 00:00:00+00:00,52.634335,42.88025,63.387955
2023-10-21 00:00:00+00:00,80.56209,47.941677,99.97789
2023-10-22 00:00:00+00:00,87.52479,30.095179,100.0
2023-10-23 00:00:00+00:00,66.99349,18.59253,97.370285
2023-10-24 00:00:00+00:00,75.22048,26.884264,99.492004
