Unnamed: 0,Data,Sunlight (em minutos),avg_price_eur_mwh,temp_C_mean,temp_C_min,temp_C_max,wind_speed_mean,wind_speed_min,wind_speed_max,precip_mm_sum,mean_cloud,min_cloud,max_cloud
92,2023-04-03,764.4,66.05346153846155,14.64415,7.1172485,21.481415,1.8640379,0.6805177,2.898097,0.022498766,63.309322,17.871956,96.00668
93,2023-04-04,766.8,64.98825,16.46582,11.020996,23.116058,2.724474,1.6349771,3.8275828,0.0033953611,39.696495,4.98072,98.97576
94,2023-04-05,769.2,110.63652173913044,16.581459,8.739319,24.526306,2.8564951,1.7823611,3.7567663,0.0,12.2674055,0.42326087,36.59873
95,2023-04-06,772.2,98.67904761904762,17.456577,8.32843,25.956726,1.5252212,0.45825037,2.25228,0.0,14.838032,0.0,47.515583
96,2023-04-07,774.0,107.09210526315788,17.54489,9.203278,25.670502,1.3607928,0.42872405,1.9696591,5.609849e-06,10.297705,0.0,24.621439
97,2023-04-08,777.0,86.80666666666667,17.723671,9.180542,26.078583,1.445921,0.6160546,2.263203,0.0,19.702667,2.2364717,35.73174
98,2023-04-09,780.0,75.9295652173913,17.729446,10.650421,25.774994,1.6751375,0.38928252,3.7885575,0.0,27.831459,1.272224,62.081192
99,2023-04-10,781.8,52.86739130434783,16.065096,9.089233,23.563965,3.0011132,1.6438308,4.69537,0.000592774,46.969437,13.060877,69.121056
100,2023-04-11,784.8,92.35166666666667,15.793057,10.863525,22.684692,3.0597165,1.9454277,4.627434,0.0037917905,23.58492,5.7868147,43.97389
101,2023-04-12,786.6,45.8065,13.274554,8.914673,17.351044,3.7723682,1.9994034,5.345751,0.055541243,71.0451,23.007023,91.41929
102,2023-04-13,789.6,70.87260869565218,11.610981,5.5117493,17.517914,3.672182,2.5391767,4.9560547,0.005145166,73.695045,41.395622,90.95
103,2023-04-14,792.0,46.99454545454546,13.746906,8.5329895,18.981476,3.3503284,1.65769,5.119419,0.06292661,73.0153,44.82759,93.8445
104,2023-04-15,794.4,22.383333333333333,17.449379,10.675201,24.848083,3.4590511,2.815724,4.7560563,8.92901e-05,23.673697,0.0066061583,72.54035
105,2023-04-16,796.8,42.52190476190477,19.817095,12.412018,27.291199,3.05727,2.196182,4.2588234,0.0,0.0014944636,0.0,0.010555492
106,2023-04-17,799.2,80.03714285714285,20.87021,12.563232,28.860748,2.7827427,1.6590879,3.8989148,0.0,23.98255,0.073601216,49.082355
107,2023-04-18,801.6,105.10947368421051,19.83526,11.837402,27.30783,1.7051406,0.6827303,2.8310556,0.0,37.68444,6.5062394,98.019264
108,2023-04-19,804.0,115.16318181818184,18.754988,11.611481,26.431763,1.8251371,0.37930655,3.4984093,0.001358051,22.41773,1.2617403,81.87041
109,2023-04-20,807.0,117.42136363636364,16.823431,10.34668,24.179626,1.8216769,0.3836635,3.1838117,7.947286e-05,24.695436,6.5292177,51.25819
110,2023-04-21,808.8,100.4425,13.48243,9.125824,18.852295,2.4758666,0.46884093,5.3274217,0.91369665,81.574196,15.810439,99.63411
111,2023-04-22,811.2,78.00875,14.352393,9.230011,19.63739,2.109022,0.75074774,3.5804133,0.03559683,53.397556,26.059856,93.47846
112,2023-04-23,814.2,65.185,15.888512,9.821808,22.051392,2.0218933,0.37579957,4.121873,0.04882111,45.85719,24.47535,67.25859
113,2023-04-24,816.0,104.23095238095236,18.265846,11.714355,25.207397,2.087167,1.4428381,3.305081,0.0038647184,37.66967,16.244759,72.26247
114,2023-04-25,818.4,94.23166666666668,19.210318,11.966858,26.612427,1.9986597,1.3461562,3.2835665,0.0002000846,36.126186,0.9403364,79.009834
115,2023-04-26,820.2,109.41782608695652,20.852339,12.279663,29.0484,1.5898751,0.2373866,2.6181533,8.508271e-05,60.082325,27.262539,99.89204
116,2023-04-27,823.2,110.37434782608696,23.631845,15.807953,31.607513,1.4607457,0.982464,1.7917097,0.0017128739,83.248535,54.576736,99.26431
117,2023-04-28,825.6,107.50041666666668,21.576494,15.329559,28.82489,1.8702087,0.03083882,3.9575436,0.004485074,77.449875,39.098186,96.82287
